name,lat_ns_per_op,tp_ns_per_op,lat_intercept_ms,tp_intercept_ms,lat_r2,tp_r2,reliable
s_abs_i32,-105.57,123.57,17.6641,17.4878,0.5102,0.8832,0
s_absdiff_i32,171.29,-117.58,17.4928,17.6938,0.5454,0.2880,0
s_absdiff_u32,-104.85,13.04,17.7020,17.5350,0.1994,0.1251,0
s_add_i32,-49.73,44.47,17.6463,17.5111,0.0499,0.8601,0
s_add_u32,-68.02,3.73,17.6830,17.5298,0.1352,0.2709,0
s_addc_u32,62.42,40.43,17.5659,17.5883,0.3671,0.1683,0
s_and_b32,127.76,291.86,17.5523,17.4470,0.3126,0.5600,0
s_andn1_b32,-108.31,-110.64,17.7730,17.6752,0.1167,0.2528,0
s_andn2_b32,-84.82,57.41,17.7651,17.5095,0.1084,0.7507,0
s_bcnt_0_b32,-53.01,-49.42,17.6393,17.6622,0.2123,0.7894,0
s_bcnt_1_b32,43.11,54.27,17.5858,17.5777,0.1387,0.3969,0
s_bfe_i32,-83.71,10.37,17.7252,17.5866,0.1245,0.0097,0
s_bfe_u32,-92.72,2.20,17.6848,17.5338,0.1389,0.0073,0
s_bfm_b32,11.62,-29.53,17.6247,17.5812,0.0020,0.0958,0
s_bfrev_b32,156.68,76.10,17.5819,17.5377,0.7316,0.1600,0
s_bitcmp0_b32,-296.88,897.71,17.7401,17.3603,0.1764,0.9040,0
s_bitcmp1_b32,69.98,306.86,17.5350,17.5336,0.4758,0.3866,0
s_bitset0_b32,-11.04,54.33,17.6604,17.5278,0.0029,0.4022,0
s_bitset1_b32,-108.73,42.80,17.6762,17.6260,0.2144,0.0231,0
s_clb_b32,-26.96,-44.37,17.5759,17.6588,0.0966,0.0534,0
s_clo_b32,-46.93,60.33,17.6719,17.5558,0.0489,0.2758,0
s_clz_b32,-20.99,-149.46,17.5771,17.7312,0.0812,0.3927,0
s_cmp,181.17,298.15,17.5161,17.4570,0.5183,0.6683,1
s_cmp_eq_i32,405.41,-265.90,17.5486,17.6570,0.3150,0.9043,0
s_cmp_eq_u32,700.00,510.71,17.5248,17.6208,0.5170,0.3027,0
s_cmp_ge_i32,96.71,81.75,17.4999,17.5113,0.9974,0.7372,1
s_cmp_ge_u32,-189.73,17.97,17.7164,17.5279,0.0289,0.8758,0
s_cmp_gt_i32,-301.95,-30.86,17.6814,17.5424,0.9982,0.9450,0
s_cmp_gt_u32,41.46,-653.07,17.5272,17.8418,0.6353,0.4616,0
s_cmp_le_i32,361.61,290.62,17.4627,17.4856,0.8355,0.9426,1
s_cmp_le_u32,-281.19,-147.94,17.7365,17.6845,0.2440,0.0273,0
s_cmp_lt_i32,48.83,-20.03,17.5263,17.5401,0.3208,0.2302,0
s_cmp_lt_u32,2.90,-312.11,17.5322,17.7755,0.0554,0.1570,0
s_cmp_ne_i32,-958.15,-712.72,18.0332,17.8573,0.6525,0.5420,0
s_cmp_ne_u32,31.31,1003.12,17.5588,17.3517,0.0102,0.9340,0
s_cto_b32,79.60,16.62,17.5400,17.5241,0.1036,0.3238,0
s_ctz_b32,158.59,112.11,17.4978,17.5075,0.7404,0.8494,1
s_ineg_i32,-39.65,-43.61,17.5866,17.5954,0.3431,0.3295,0
s_max_i32,-63.74,37.56,17.6621,17.6113,0.3610,0.0258,0
s_max_u32,75.23,58.55,17.5509,17.5383,0.5630,0.2710,0
s_min_i32,-109.57,-32.65,17.7245,17.5955,0.2435,0.0838,0
s_min_u32,183.22,93.31,17.5289,17.5598,0.6125,0.1065,0
s_mov_b32,104.84,32.12,17.6301,17.5130,0.1984,0.4072,0
s_mul_hi_i32,-6.58,68.88,17.6008,17.5158,0.0008,0.4666,0
s_mul_hi_u32,64.55,2.45,17.5477,17.5773,0.3595,0.0005,0
s_mul_i32,31.45,-61.13,17.5376,17.7431,0.3404,0.0336,0
s_mul_u32,-40.32,28.11,17.6340,17.5126,0.0458,0.8807,0
s_nand_b32,74.12,-164.21,17.5473,17.7844,0.1111,0.2546,0
s_nor_b32,20.92,3.59,17.5109,17.5268,0.7703,0.3818,0
s_not_b32,5.90,17.15,17.5262,17.5164,0.1993,0.6033,0
s_or_b32,4.33,7.24,17.5242,17.5259,0.4050,0.4062,0
s_orn1_b32,16.59,9.13,17.5108,17.5170,0.9755,0.6461,1
s_orn2_b32,10.21,10.51,17.5131,17.5129,0.9977,0.9989,1
s_quadmask_b32,8.23,11.28,17.5172,17.5122,0.4961,0.9665,0
s_rotr_b32,11.75,11.07,17.5124,17.5124,0.9722,0.9713,1
s_select_b32,7.57,10.44,17.5172,17.5134,0.3737,0.9673,0
s_sext_i32_i16,11.32,20.14,17.5154,17.5083,0.5548,0.9276,1
s_sext_i32_i8,12.28,10.29,17.5122,17.5218,0.9916,0.6233,1
s_sll_b32,-2.72,48.03,17.6001,17.5050,0.0001,0.8173,0
s_sra_b32,-137.67,18.14,17.6888,17.5224,0.2879,0.2278,0
s_srl_b32,32.94,-121.37,17.5182,17.7178,0.6765,0.3453,0
s_sub_i32,5.63,18.44,17.5234,17.5216,0.1019,0.9983,0
s_sub_u32,13.12,11.73,17.5205,17.5191,0.5537,0.5881,1
s_subb_u32,23.88,10.47,17.5150,17.5269,0.8890,0.5098,1
s_wqm_b32,8.70,7.86,17.5260,17.5279,0.9208,0.6448,1
s_xnor_b32,11.15,9.27,17.5223,17.5246,0.9858,0.9278,1
s_xor_b32,13.40,11.89,17.5231,17.5216,0.8873,0.9932,1
v_abs_f32,22.32,13.15,17.5226,17.5216,0.9986,0.9968,1
v_abs_i32,18.91,7.37,17.5287,17.5215,0.9050,0.3128,0
v_absdiff_i32,20.79,10.13,17.5144,17.5242,0.9876,0.5762,1
v_absdiff_u32,13.97,16.36,17.5213,17.5177,0.7607,0.7474,1
v_add_f32,19.87,9.34,17.5176,17.5221,0.6623,0.7046,1
v_add_i32,28.93,9.59,17.5105,17.5190,0.9878,0.3988,0
v_add_u32,18.11,10.60,17.5156,17.5161,0.8974,0.6842,1
v_addc_u32,21.75,23.13,17.5108,17.5108,0.9950,0.9910,1
v_and_b32,18.68,11.73,17.5130,17.5122,0.9858,0.9707,1
v_bcnt0_u32,22.51,19.42,17.5184,17.5152,0.9048,0.9008,1
v_bcnt1_u32,27.32,13.33,17.5130,17.5230,0.9604,0.5978,1
v_bfe_i32,16.32,11.38,17.5174,17.5156,0.8865,0.6183,1
v_bfe_u32,30.50,16.57,17.5119,17.5146,0.9662,0.9366,1
v_bfi_b32,21.23,13.97,17.5288,17.5239,0.9990,0.6329,1
v_bfm_b32,18.10,11.28,17.5247,17.5255,0.8851,0.7523,1
v_bfrev_b32,24.49,120.20,17.5147,17.4878,0.9319,0.7185,1
v_bitalign_b32,-86.94,-128.34,17.6693,17.7715,0.1287,0.1142,0
v_bperm_sm_b32,-62.35,-75.16,17.6240,17.6771,0.5362,0.0976,0
v_bytealign_b32,190.69,242.55,17.4627,17.4387,0.6543,0.7074,1
v_byteperm_b32,19.27,-23.81,17.5250,17.6112,0.5627,0.0086,0
v_ceil_f32,18.80,-34.64,17.5365,17.6560,0.4369,0.0171,0
v_ceil_f64,-54.31,24.11,17.6625,17.5373,0.0527,0.4545,0
v_clb_u32,39.98,-24.17,17.5466,17.5739,0.1261,0.0743,0
v_clo_u32,36.43,-18.62,17.5394,17.5641,0.7122,0.0442,0
v_clz_u32,173.12,-83.10,17.4738,17.6809,0.6585,0.1147,0
v_cmp_eq_f16,7.66,-6.37,17.5206,17.5417,0.3498,0.0388,0
v_cmp_eq_f32,-230.80,37.68,17.8236,17.5386,0.5913,0.1871,0
v_cmp_eq_i16,15.63,11.21,17.5235,17.5181,0.8517,0.7069,1
v_cmp_eq_i32,13.93,2.69,17.5250,17.5283,0.6954,0.1236,0
v_cmp_eq_u16,1.59,21.08,17.5308,17.5178,0.0661,0.9169,0
v_cmp_eq_u32,18.66,-0.96,17.5151,17.5300,0.9775,0.0433,0
v_cmp_f_f16,14.00,9.83,17.5261,17.5292,0.9937,0.9792,1
v_cmp_f_f32,9.42,12.52,17.5264,17.5226,0.9078,0.9708,1
v_cmp_f_i16,14.99,9.65,17.5196,17.5254,0.9601,0.7697,1
v_cmp_f_i32,13.55,12.23,17.5263,17.5279,0.8832,0.9451,1
v_cmp_f_u16,6.79,40.11,17.5303,17.5232,0.8389,0.9209,1
v_cmp_f_u32,2.22,35.90,17.5449,17.5149,0.0038,0.7986,0
v_cmp_ge_f16,10.82,12.52,17.5626,17.5217,0.9857,0.9790,1
v_cmp_ge_f32,10.21,13.96,17.5257,17.5251,0.6151,0.7744,1
v_cmp_ge_i16,39.46,10.23,17.5234,17.5238,0.9048,0.6519,1
v_cmp_ge_i32,21.05,9.63,17.5484,17.5230,0.4839,0.9135,0
v_cmp_ge_u16,13.83,13.20,17.5594,17.5201,0.9423,0.9793,1
v_cmp_ge_u32,14.92,16.76,17.5133,17.5205,0.9544,0.9295,1
v_cmp_gt_f16,43.52,22.44,17.5224,17.5301,0.7249,0.2773,0
v_cmp_gt_f32,18.03,14.74,17.5163,17.5206,0.8818,0.6496,1
v_cmp_gt_i16,3.27,15.24,17.5281,17.5206,0.3469,0.6328,0
v_cmp_gt_i32,7.68,16.12,17.5248,17.5174,0.7403,0.7957,1
v_cmp_gt_u16,16.53,12.40,17.5128,17.5232,0.9180,0.9957,1
v_cmp_gt_u32,128.31,4.97,17.5959,17.5355,0.1457,0.0444,0
v_cmp_le_f16,16.33,-53.39,17.5539,17.6406,0.3047,0.0408,0
v_cmp_le_f32,-1.09,-5.79,17.5843,17.5535,0.0002,0.0279,0
v_cmp_le_i16,29.42,-42.22,17.5166,17.6469,0.5984,0.0246,0
v_cmp_le_i32,-39.17,-53.56,17.6760,17.6135,0.1015,0.5832,0
v_cmp_le_u16,-36.67,-110.24,17.5853,17.7269,0.2221,0.4110,0
v_cmp_le_u32,81.34,-57.89,17.5563,17.6282,0.6294,0.6628,0
v_cmp_lg_f16,-125.23,127.10,17.6834,17.5358,0.2339,0.1337,0
v_cmp_lg_f32,-108.99,46.91,17.7447,17.6096,0.1362,0.0287,0
v_cmp_lg_i16,-26.95,46.92,17.5904,17.6062,0.0885,0.0386,0
v_cmp_lg_i32,-51.13,64.05,17.6349,17.5214,0.0424,0.4366,0
v_cmp_lg_u16,11.22,-30.66,17.5184,17.5701,0.7091,0.1320,0
v_cmp_lg_u32,22.57,6.71,17.5153,17.5180,0.2915,0.5168,0
v_cmp_lt_f16,7.29,18.61,17.5242,17.5133,0.0367,0.7860,0
v_cmp_lt_f32,7.80,11.53,17.5191,17.5212,0.6271,0.6846,1
v_cmp_lt_i16,39.65,6.89,17.5062,17.5178,0.7859,0.9537,1
v_cmp_lt_i32,19.96,12.21,17.5077,17.5218,0.9824,0.8025,1
v_cmp_lt_u16,9.53,31.69,17.5141,17.5179,0.6997,0.6480,1
v_cmp_lt_u32,11.94,-19.59,17.5112,17.5740,0.9839,0.4389,0
v_cmp_neq_f16,14.14,-30.54,17.5099,17.5719,0.9586,0.7289,0
v_cmp_neq_f32,-9.35,48.45,17.5359,17.5165,0.0794,0.7358,0
v_cmp_nge_f16,46.44,6.60,17.4989,17.5510,0.9027,0.0350,0
v_cmp_nge_f32,21.88,-9.00,17.5097,17.5618,0.9760,0.0843,0
v_cmp_ngt_f16,-31.35,14.96,17.5728,17.5197,0.7702,0.8564,0
v_cmp_ngt_f32,14.33,31.69,17.5158,17.5123,0.8478,0.5655,1
v_cmp_nle_f16,-4.29,54.89,17.5448,17.5017,0.0104,0.9001,0
v_cmp_nle_f32,-7.74,-32.28,17.5342,17.5709,0.0536,0.6947,0
v_cmp_nlg_f16,1.81,11.93,17.5489,17.5097,0.0014,0.9981,0
v_cmp_nlg_f32,7.09,20.47,17.5355,17.5069,0.0246,0.9267,0
v_cmp_nlt_f16,10.42,13.61,17.5124,17.5606,0.9260,0.9995,1
v_cmp_nlt_f32,28.52,-8.72,17.5226,17.5518,0.3326,0.0638,0
v_cmp_o_f16,48.18,-24.33,17.5122,17.5612,0.9127,0.5504,0
v_cmp_o_f32,9.29,-3.67,17.5235,17.5565,0.7167,0.0090,0
v_cmp_tru_f16,20.23,16.89,17.5091,17.5396,0.9607,0.1396,0
v_cmp_tru_f32,16.24,6.30,17.5134,17.5191,0.8086,0.4366,0
v_cmp_tru_i16,7.23,19.41,17.5218,17.5084,0.6829,0.9723,1
v_cmp_tru_i32,14.37,-14.48,17.5123,17.5423,0.7411,0.2233,0
v_cmp_tru_u16,10.54,37.27,17.5127,17.5124,0.6595,0.7896,1
v_cmp_tru_u32,2.87,9.21,17.5318,17.5139,0.0068,0.7251,0
v_cmp_u_f16,15.86,9.04,17.5133,17.5226,0.6962,0.2232,0
v_cmp_u_f32,8.68,-2.26,17.5210,17.5491,0.4826,0.0051,0
v_cmpclass_f16,13.93,17.79,17.5596,17.5091,0.9916,0.9317,1
v_cmpclass_f32,-11.06,12.14,17.5388,17.5143,0.1252,0.7399,0
v_copysign_f32,14.89,15.93,17.5210,17.5126,0.9331,0.7891,1
v_cos_f32,37.08,28.22,17.5119,17.5099,0.9988,0.9395,1
v_cto_u32,21.88,16.27,17.5126,17.5159,0.9101,0.8584,1
v_ctz_u32,20.20,18.26,17.5209,17.5101,0.9878,0.9711,1
v_cubeface_f32,17.88,20.03,17.5195,17.5131,0.7338,0.8236,1
